# timestamp [ns], vertex-id, mission-id, p_G_Ix [m], p_G_Iy [m], p_G_Iz [m], q_G_Iw, q_G_Ix, q_G_Iy, q_G_Iz, p_M_Ix [m], p_M_Iy [m], p_M_Iz [m], q_M_Iw, q_M_Ix, q_M_Iy, q_M_Iz, v_Mx [m/s], v_My [m/s], v_Mz [m/s], bgx [rad/s], bgy [rad/s], bgz [rad/s], bax [m/s^2], bay [m/s^2], baz [m/s^2]
1403638518377829500, d76923e765c342182800000000000000, a9129b4064c342181200000000000000, 0.00213510402461605, -0.00136993830145806, -0.00581700832353989, 0.552604133733952, -0.00116260414413168, -0.833442318237206, 0.0011053972792195, 0.00213510402461605, -0.00136993830145806, -0.00581700832353989, 0.552604133733952, -0.00116260414413168, -0.833442318237206, 0.0011053972792195, 0.00515515329773699, -0.00491999786846654, -0.0279550937138879, 0.000690266535010402, 0.00562580586228123, 0.0701414218531988, -0.00419698238758202, -9.42216648332877e-05, 0.00172528926600234
1403638518477829500, e920f9ec65c342182d00000000000000, a9129b4064c342181200000000000000, 0.00248094794763493, -0.00179787883711765, -0.00634220045557167, 0.552871322070317, -0.00125353396182199, -0.833264827292956, 0.00120726188817913, 0.00248094794763493, -0.00179787883711765, -0.00634220045557167, 0.552871322070317, -0.00125353396182199, -0.833264827292956, 0.00120726188817913, 0.00299179196707656, -0.0049647370581647, -0.0202878061852887, 0.000660350579102424, 0.00871921462573341, 0.073574704589452, -0.0163416163283187, -0.000111894931043275, 0.0068415245880981
1403638518577829500, 939c05f365c342183300000000000000, a9129b4064c342181200000000000000, 0.00246234254802571, -0.00200559173437759, -0.00625297158759952, 0.553606377131456, -0.00129869090768452, -0.832776476338685, 0.00127791166914594, 0.00246234254802571, -0.00200559173437759, -0.00625297158759952, 0.553606377131456, -0.00129869090768452, -0.832776476338685, 0.00127791166914594, 0.00426162872950667, -0.00377575492443305, -0.0155045847860571, 0.000449575983099575, 0.0113735465760714, 0.0752759895892046, -0.0190831949771519, -0.000113329877371944, 0.0080042154178168
1403638518677829500, 25db45f965c342183b00000000000000, a9129b4064c342181200000000000000, 0.00241979293979998, -0.00215851617727635, -0.00590789002392153, 0.553855158725056, -0.00128101752535631, -0.832611131509255, 0.00123524678544681, 0.00241979293979998, -0.00215851617727635, -0.00590789002392153, 0.553855158725056, -0.00128101752535631, -0.832611131509255, 0.00123524678544681, 0.00498302266743867, -0.00374794663918133, -0.0127081453694802, 0.000215686257803843, 0.0134642369303667, 0.0760994733682448, -0.0189445507658562, -0.000131793656916787, 0.0079480736824126
1403638518777829500, 9fdcaafe65c342183f00000000000000, a9129b4064c342181200000000000000, 0.00239079597050299, -0.00193758878425001, -0.00558937655716498, 0.553827168237107, -0.00115905887920466, -0.832630066091457, 0.00113901076252974, 0.00239079597050299, -0.00193758878425001, -0.00558937655716498, 0.553827168237107, -0.00115905887920466, -0.832630066091457, 0.00113901076252974, 0.00379061671161507, -0.00410389235816863, -0.00928082702795785, -0.000317471234289986, 0.0147745914541591, 0.0767417627925005, -0.0204532132062521, -9.46604481471751e-05, 0.00857134710367579
1403638518877829500, f58a280566c342184500000000000000, a9129b4064c342181200000000000000, 0.00220509788102635, -0.0019055989409258, -0.00491993662587229, 0.553692779325363, -0.00110586921765316, -0.832719462054897, 0.00117502818277381, 0.00220509788102635, -0.0019055989409258, -0.00491993662587229, 0.553692779325363, -0.00110586921765316, -0.832719462054897, 0.00117502818277381, 0.00336454971405689, -0.00421269214346473, -0.00629187229253024, -0.000634338294329573, 0.0159594659655396, 0.0770252866826886, -0.0231283124349311, -3.80236123948286e-05, 0.00964728730561149
1403638518977829500, 1435b10a66c342184b00000000000000, a9129b4064c342181200000000000000, 0.0021495313290475, -0.00179720024268665, -0.00469127998053274, 0.553710015852094, -0.00112369819695516, -0.832707847717577, 0.00126332774698401, 0.0021495313290475, -0.00179720024268665, -0.00469127998053274, 0.553710015852094, -0.00112369819695516, -0.832707847717577, 0.00126332774698401, 0.0034382618288202, -0.00404974256856671, -0.00541887875554427, -0.000923924256596302, 0.0166101856733623, 0.0770624700733816, -0.0216625103141598, -8.46760697695192e-05, 0.00905772486970586
1403638519077829500, ebcb971066c342185100000000000000, a9129b4064c342181200000000000000, 0.0021741026844977, -0.00178017173273801, -0.00463399227813015, 0.553767898078823, -0.00116907113589275, -0.83266913110297, 0.00136617651356388, 0.0021741026844977, -0.00178017173273801, -0.00463399227813015, 0.553767898078823, -0.00116907113589275, -0.83266913110297, 0.00136617651356388, 0.00385504982573, -0.00254738878400053, -0.00518107102379664, -0.00106115090886998, 0.0170305787733287, 0.0771506679543775, -0.020063394677445, -0.000142609568301751, 0.00841979375211919
1403638519177829500, f605f71666c342185700000000000000, a9129b4064c342181200000000000000, 0.0019820096112812, -0.00140227202184, -0.00403709583899371, 0.553703047536901, -0.00110006822611297, -0.83271229757789, 0.00139802031427212, 0.0019820096112812, -0.00140227202184, -0.00403709583899371, 0.553703047536901, -0.00110006822611297, -0.83271229757789, 0.00139802031427212, 0.00364239253414957, -0.00125978065633482, -0.00435445463247595, -0.00132644108022685, 0.0176804639544356, 0.0773052736899491, -0.0195979577030294, -0.000164902264718379, 0.00822600530834225
1403638519277829500, 3871e11e66c342185f00000000000000, a9129b4064c342181200000000000000, 0.00201537836311094, -0.00144422943437829, -0.00391101334614878, 0.553744722628033, -0.00109142798487281, -0.832684649949385, 0.00136553477692833, 0.00201537836311094, -0.00144422943437829, -0.00391101334614878, 0.553744722628033, -0.00109142798487281, -0.832684649949385, 0.00136553477692833, 0.00442733646378669, -0.00134805111312357, -0.00521546605492175, -0.00137862937449049, 0.017987559339339, 0.0774002322924293, -0.0185527314919928, -0.00018026477832992, 0.00780913149789743
