timestamp,cpu_percent,ram_percent
1746620372,15.6,15.7951
1746620372,16.8,15.8922
1746620372,19,15.9308
1746620372,18.2,15.9351
1746620372,18.1,15.9858
1746620373,14.3,16.4207
1746620373,15.2,16.4275
1746620373,18.1,16.4305
1746620373,18.3,16.4305
1746620373,17.7,16.4305
1746620374,17.2,16.4473
1746620375,17.2,16.4511
1746620375,18.7,16.4503
1746620375,19.1,16.4455
1746620375,19.7,16.4409
1746620376,21.1,16.4331
1746620376,16,16.4319
1746620376,15,16.4304
1746620376,14.7,16.4304
1746620376,14.5,16.4333
1746620377,15.7,16.4438
1746620377,14.9,16.4529
1746620377,15.9,16.4575
1746620377,15.1,16.4559
1746620377,17.7,16.4558
1746620378,14.1,16.4889
1746620378,14,16.4934
1746620378,16.1,16.493
1746620378,15.6,16.4945
1746620378,16.7,16.4897
1746620379,19.5,16.4861
1746620379,19.4,16.4829
1746620379,21.7,16.4829
1746620379,21.8,16.4701
1746620379,22,16.4701
1746620380,15.5,16.4736
1746620381,15.6,16.4716
1746620381,14.8,16.4731
1746620381,15.9,16.4682
1746620381,16,16.4682
1746620382,17.9,16.4712
1746620382,18.6,16.468
1746620382,17.3,16.468
1746620382,18.8,16.468
1746620382,18.1,16.4585
1746620383,18.5,16.4573
1746620383,18.3,16.4604
1746620383,18.7,16.4634
1746620383,18.3,16.4634
1746620383,17.4,16.4665
1746620384,18.2,16.4659
1746620384,16.8,16.4704
1746620384,17.5,16.4672
1746620384,16.4,16.4656
1746620384,17.2,16.4641
1746620385,16.5,16.4649
1746620385,16.1,16.4664
1746620385,16.5,16.4648
1746620385,16.4,16.4648
1746620385,16.4,16.4616
1746620386,16.8,16.4872
1746620386,15.1,16.4836
1746620386,15.2,16.4786
1746620386,14.1,16.4802
1746620387,15.7,16.4833
1746620388,15.6,16.5001
1746620388,16.5,16.5
1746620388,17.2,16.5025
1746620388,16.3,16.5024
1746620388,17,16.5039
1746620389,18.1,16.4972
1746620389,18.5,16.5007
1746620389,18,16.4991
1746620389,17.9,16.4895
1746620389,17.6,16.4864
1746620390,14.6,16.5007
1746620390,14.6,16.4976
1746620390,15.2,16.4976
1746620390,15.3,16.4976
1746620390,16.8,16.4976
1746620391,16.1,16.5064
1746620391,14.3,16.508
1746620391,14.7,16.5106
1746620391,15.9,16.5088
1746620391,15.5,16.5088
1746620392,14.6,16.5433
1746620392,15.6,16.5417
1746620392,15.7,16.5418
1746620392,16,16.5385
1746620392,16.4,16.5385
1746620394,15.5,16.5707
1746620394,15.8,16.5676
1746620394,16.4,16.5673
1746620394,16,16.5641
1746620394,15.3,16.5561
1746620395,14.8,16.5846
1746620395,16,16.5846
1746620395,16.2,16.5796
1746620395,17.4,16.5778
1746620395,18.2,16.5667
1746620396,16.1,16.5943
1746620396,16.1,16.5912
1746620396,16,16.5912
1746620396,15.3,16.5895
1746620396,15,16.5864
1746620397,16.9,16.5694
1746620397,15.9,16.5694
1746620397,16.1,16.574
1746620397,17.8,16.5769
1746620397,18.3,16.5753
1746620398,17.7,16.5706
1746620398,18.2,16.5706
1746620398,17.7,16.5721
1746620398,14.9,16.5736
1746620398,16,16.572
1746620399,16.1,16.596
1746620399,16.1,16.5942
1746620400,15.8,16.5926
1746620400,16.4,16.5865
1746620400,16.8,16.5818
1746620401,15.5,16.6263
1746620401,15.8,16.6243
1746620401,15.3,16.6258
1746620401,16.8,16.627
1746620401,16.7,16.6174
1746620402,15.4,16.639
1746620402,16.8,16.6358
1746620402,15.8,16.6371
1746620402,16.9,16.6355
1746620402,16.6,16.6355
1746620403,16.4,16.6227
1746620403,14.9,16.6191
1746620403,14,16.6205
1746620403,14.4,16.6219
1746620403,14.7,16.6139
1746620404,19.1,16.6169
1746620404,24.3,16.5909
1746620404,24.2,16.5903
1746620404,25.6,16.5918
1746620404,26.1,16.5902
1746620405,16.1,16.5945
1746620405,16.2,16.5958
1746620405,15.7,16.5958
1746620405,17.5,16.592
1746620405,17.6,16.592
1746620407,17.1,16.6199
1746620407,17,16.6213
1746620407,17.9,16.626
1746620407,17.5,16.6199
1746620407,16.6,16.6291
1746620408,16.1,16.6042
1746620408,15.7,16.6083
1746620408,15.4,16.6002
1746620408,14.3,16.6002
1746620408,15.1,16.6017
1746620409,16,16.6257
1746620409,17.1,16.6256
1746620409,16.8,16.6255
1746620409,16.7,16.6223
1746620409,17.4,16.622
1746620410,17.4,16.6277
1746620410,15.5,16.632
1746620410,15.3,16.6333
1746620410,14.5,16.6254
1746620410,15.3,16.6221
1746620411,16.9,16.6226
1746620411,18.9,16.6257
1746620411,17.9,16.6288
1746620411,18.6,16.6318
1746620411,17.6,16.6287
1746620412,17.2,16.6521
1746620413,16.8,16.6534
1746620413,16.7,16.6511
1746620413,17.6,16.6495
1746620413,15.8,16.6471
1746620414,14.1,16.6314
1746620414,14.3,16.6321
1746620414,14,16.6271
1746620414,14.4,16.6256
1746620414,15.8,16.6147
1746620415,17.6,16.5923
1746620415,17.6,16.5985
1746620415,15.8,16.5985
1746620415,16.7,16.5999
1746620415,16.3,16.5982
1746620416,14.7,16.6381
1746620416,15.1,16.6349
1746620416,15.6,16.6301
1746620416,15.8,16.6254
1746620416,16.7,16.6254
1746620417,15.1,16.6389
1746620417,15.6,16.6389
1746620417,15,16.6358
1746620417,16.6,16.6326
1746620417,15.3,16.6306
1746620418,15.1,16.6819
1746620418,16,16.6738
1746620418,15.2,16.6754
1746620418,15.1,16.6722
1746620419,16.1,16.6671
1746620420,17.3,16.7157
1746620420,15.6,16.7123
1746620420,14.5,16.7129
1746620420,15.8,16.7096
1746620420,15.8,16.7017
1746620421,17.6,16.6812
1746620421,19,16.6857
1746620421,19.1,16.6901
1746620421,19.5,16.6869
1746620421,19.5,16.6852
1746620422,15.8,16.7089
1746620422,16.3,16.7073
1746620422,15.8,16.7089
1746620422,16.1,16.6977
1746620422,15.1,16.6993
1746620423,14.6,16.7024
1746620423,15.1,16.7071
1746620423,14.7,16.7102
1746620423,15.3,16.7053
1746620423,16.6,16.7005
1746620424,16.2,16.6945
1746620424,15.7,16.693
1746620424,14.4,16.693
1746620424,14.2,16.6883
1746620424,14.3,16.6883
1746620425,17.6,16.7316
1746620426,17.8,16.7391
1746620426,18.5,16.7294
1746620426,18.1,16.7278
1746620426,18.2,16.7277
1746620427,15.3,16.7249
1746620427,12.9,16.7279
1746620427,15.1,16.7279
1746620427,15.2,16.7262
1746620427,14.8,16.7223
1746620428,14.8,16.7359
1746620428,16.5,16.7405
1746620428,17.6,16.7419
1746620428,17.3,16.7403
1746620428,16,16.7354
1746620429,16.8,16.7479
1746620429,16.2,16.7525
1746620429,16.8,16.7541
1746620429,18,16.7569
1746620429,17.5,16.7553
1746620430,14.9,16.7688
1746620430,15.8,16.7715
1746620430,16.7,16.7699
1746620430,16.2,16.7601
1746620430,16.8,16.7569
1746620431,15.4,16.7204
1746620431,18.1,16.7236
1746620432,17.4,16.7189
1746620432,17,16.7219
1746620432,16.6,16.7249
1746620433,15.6,16.7076
1746620433,15.7,16.7088
1746620433,16.6,16.7103
1746620433,16.9,16.7103
1746620433,17.4,16.7071
1746620434,15.5,16.7512
1746620434,14.5,16.7565
1746620434,14.9,16.758
1746620434,17,16.7594
1746620434,18,16.7483
1746620435,15.8,16.7842
1746620435,15.2,16.7849
1746620435,17.4,16.7834
1746620435,16,16.785
1746620435,17.1,16.7802
1746620436,17,16.7936
1746620436,17.1,16.7918
1746620436,16.3,16.7902
1746620436,16.8,16.7791
1746620436,16.4,16.779
1746620437,16.4,16.7624
1746620437,18.1,16.767
1746620437,16,16.7596
1746620437,15.8,16.7612
1746620437,15.6,16.7612
1746620439,15,16.7619
1746620439,17.2,16.7669
1746620439,18.9,16.7669
1746620439,19.6,16.7603
1746620439,19.9,16.7603
1746620440,13.2,16.7497
1746620440,13.7,16.7558
1746620440,15.2,16.7604
1746620440,16.8,16.7633
1746620440,16.7,16.7633
1746620441,14.6,16.748
1746620441,13.6,16.7502
1746620441,13.6,16.7531
1746620441,12.3,16.7545
1746620441,12.3,16.7545
1746620442,16.8,16.7811
1746620442,19,16.7933
1746620442,18.8,16.7949
1746620442,17.4,16.7932
1746620442,18.1,16.79
1746620443,16.9,16.8219
1746620443,15.7,16.8226
1746620443,13.5,16.8098
1746620443,13.8,16.8081
1746620443,13.7,16.797
1746620444,17.3,16.8308
1746620445,19.6,16.8237
1746620445,18.6,16.8225
1746620445,18.7,16.8208
1746620445,18,16.819
1746620446,16.6,16.8477
1746620446,15.2,16.8461
1746620446,15.5,16.8444
1746620446,16.6,16.8459
1746620446,18.6,16.8427
1746620447,15.4,16.8399
1746620447,14.5,16.8442
1746620447,14.6,16.8471
1746620447,15.3,16.8456
1746620447,15,16.8408
1746620448,14.6,16.8338
1746620448,15.1,16.8379
1746620448,15.1,16.8394
1746620448,15.5,16.841
1746620448,15.6,16.8394
1746620449,90.1,16.9015
1746620449,87.9,16.9123
1746620449,89.9,16.9092
1746620449,92.7,16.9123
1746620449,91.9,16.9075
1746620450,93.6,17.0412
1746620450,91.9,17.0473
1746620451,93.3,17.0498
1746620451,94,17.0575
1746620451,93.6,17.0558
1746620452,91.4,17.1157
1746620452,89.9,17.1139
1746620452,89.7,17.1199
1746620452,89.7,17.1197
1746620452,87.2,17.1161
1746620453,89.5,17.2126
1746620453,92.2,17.2095
1746620453,93.5,17.211
1746620453,93.7,17.2111
1746620453,94.1,17.2111
1746620454,86.5,17.304
1746620454,87,17.3038
1746620454,88.6,17.2992
1746620454,89.5,17.2705
1746620454,91.6,17.257
1746620455,88.6,17.3411
1746620455,88.6,17.3395
1746620455,88.9,17.336
1746620455,89.9,17.339
1746620455,88.7,17.3278
1746620456,92.5,17.3788
1746620456,90.9,17.3788
1746620457,91.9,17.3809
1746620457,91.5,17.3769
1746620457,91.8,17.3626
1746620458,91.5,17.417
1746620458,92.6,17.4137
1746620458,93.6,17.4147
1746620458,91.5,17.4139
1746620458,90.9,17.4124
1746620459,90.8,17.4588
1746620459,91.7,17.4557
1746620459,93.5,17.4571
1746620459,92.4,17.4539
1746620459,89.4,17.452
1746620460,89.3,17.5388
1746620460,88.4,17.5433
1746620460,88,17.5401
1746620460,87.9,17.5289
1746620460,85.1,17.5241
1746620461,46.7,17.5717
1746620461,60.2,17.5714
1746620461,54.1,17.5715
1746620461,89.4,17.5709
1746620462,88.6,17.5828
1746620463,89.2,17.6407
1746620463,89.6,17.6293
1746620463,89.6,17.6293
1746620463,91.6,17.6348
1746620463,91.9,17.6236
1746620464,83,17.6522
1746620464,82.9,17.635
1746620464,82.7,17.635
1746620464,84.8,17.6374
1746620464,90.6,17.6228
1746620465,86.3,17.6365
1746620465,86.1,17.6365
1746620465,86.2,17.6334
1746620465,90.9,17.641
1746620465,90.3,17.6444
1746620466,89.4,17.674
1746620466,89.6,17.6757
1746620466,89.2,17.674
1746620466,90.8,17.6723
1746620466,90.7,17.672
1746620467,87.5,17.7103
1746620467,86.7,17.6946
1746620467,85.8,17.6945
1746620468,87.7,17.6972
1746620468,85.3,17.6708
1746620469,89.1,17.7116
1746620469,88.4,17.7035
1746620469,88.5,17.7018
1746620469,90.1,17.7021
1746620469,89.1,17.6846
1746620470,15.3,17.6674
1746620470,16,17.669
1746620470,14.9,17.6689
1746620470,17.4,17.6902
1746620470,68.7,17.6875
1746620471,89.8,17.7633
1746620471,89.8,17.7551
1746620471,89,17.7506
1746620471,88.1,17.7564
1746620471,90.5,17.7563
1746620472,88.5,17.7843
1746620472,90.2,17.7948
1746620472,87.2,17.7789
1746620472,87.4,17.7789
1746620472,85.7,17.7585
1746620473,92.3,17.8024
1746620474,94.2,17.8083
1746620474,93.3,17.8083
1746620474,93.6,17.8083
1746620474,91.5,17.802
1746620475,87,17.8456
1746620475,89.9,17.8423
1746620475,90.7,17.8465
1746620475,88.8,17.8449
1746620475,88.9,17.8448
1746620476,91.9,17.8043
1746620476,94.8,17.8057
1746620476,92.3,17.8059
1746620476,91.6,17.8059
1746620476,94.3,17.8117
1746620477,88.6,17.8066
1746620477,87.7,17.8095
1746620477,90.3,17.8147
1746620477,90.5,17.8147
1746620477,89.7,17.8095
1746620478,91.1,17.8486
1746620478,90.2,17.8517
1746620478,93.4,17.8532
1746620478,94,17.8517
1746620478,94.1,17.8501
1746620480,92.3,17.8693
1746620480,89.7,17.8728
1746620480,88.9,17.8585
1746620480,88.5,17.8694
1746620480,89.5,17.8616
1746620481,91.2,17.9049
1746620481,91.1,17.9088
1746620481,85.3,17.9005
1746620481,85.7,17.9005
1746620481,86,17.902
1746620482,94.4,17.935
1746620482,94.9,17.938
1746620482,94.2,17.9218
1746620482,94.3,17.9249
1746620482,94.2,17.9233
1746620483,88.1,17.9185
1746620483,91.6,17.9199
1746620483,92.5,17.9273
1746620483,93.2,17.9177
1746620483,91.7,17.9033
1746620484,89.6,17.932
1746620484,93.4,17.9303
1746620485,94.3,17.9361
1746620485,93.3,17.9355
1746620485,93.5,17.9277
1746620486,87.4,17.9574
1746620486,95.5,17.9737
1746620486,89.5,17.9813
1746620486,89.5,17.9732
1746620486,88.9,17.9732
1746620487,89.3,17.9775
1746620487,95.7,18.0004
1746620487,95.4,18.0078
1746620487,95.3,18.0092
1746620487,91.6,18.0156
1746620488,90.4,18.0114
1746620488,87.6,18.0173
1746620488,86.3,18.0132
1746620488,86.5,18.0132
1746620488,89.8,18.0101
1746620489,90.5,18.0167
1746620489,88.7,18.0359
1746620489,88.4,18.0375
1746620489,88.4,18.0342
1746620490,89.8,18.016
1746620490,89.9,18.0058
1746620491,87.9,18.0256
1746620491,91.7,18.021
1746620491,91.7,18.0271
1746620491,91.8,18.0328
1746620492,90.3,18.0413
1746620492,85.8,18.0542
1746620492,88.7,18.0465
1746620492,87.5,18.0433
1746620492,90.6,18.0383
