#timestamp,x,y,z,qw,qx,qy,qz,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
1413393212405760500,0,0,0,0.60144481007567673903,-0.0044729934449983990014,-0.79890182923978458884,0,0,0,0,-0.0013327968833411237958,0.023355678717596847771,0.083141138913184420289,-0.0062485904485640730854,3.498540508224678991e-05,0.0017980527203507179479
1413393212605760500,0.00020581460304703374175,-0.00046126272753867426013,-2.7572006768306343464e-05,0.60149306825889192751,-0.0045248836080630742279,-0.79886519720610571493,0.0001046789700801687849,-5.5886645795878361898e-05,2.3624991043269451957e-05,-0.0013607570755140123431,-0.001311697370755224171,0.023378907070317825334,0.083183125516947759026,-0.0088519555732992985519,2.5335131211432348211e-05,0.0026138099660681511811
1413393212805760500,0.00023235134947187439762,-0.00035008555250909113811,-0.00034073432274965114981,0.60157084891402667903,-0.0045520069061301977192,-0.79880647966166529184,-3.194559075330745114e-05,3.7880829446655764651e-05,-0.0014604724567182283262,-0.001789887500530432194,-0.0013751477216149003875,0.02341885325955677874,0.083106955941111421149,-0.013922074200601836785,-2.4222285285911393087e-05,0.0040767347838386869263
1413393213005760500,0.00017952291760545764816,-0.00046920419966956400685,-0.00051707768950732179922,0.60162945135184398016,-0.004563040537344293171,-0.79876227136449995392,-0.00012558565910494119602,0.00036294333541118223817,0.00095481048102656574869,-0.00050739505008715697285,-0.001388011119109194922,0.023469203776388385119,0.083149420686238581513,-0.01498756213056757873,4.1524000899787274783e-05,0.0043537869499162013681
1413393213205760500,9.979343548443037515e-05,-0.0006159624393735968137,-0.00074591159018456087114,0.60169380198258393122,-0.0046778096022907838733,-0.79871313845948321841,-9.5944092754009037741e-05,-0.0013306683942037452958,0.000905859368071636065,-0.0016479468484135023892,-0.0013816693674766260345,0.023364595458939488998,0.083271348990535523638,-0.017030321288665193485,0.00014003655256449246548,0.0050728227477459999356
1413393213405760500,-5.3893889705721999229e-05,-0.00073313048839098132574,-0.00097012060552081262436,0.60177408186973035953,-0.0046879307489214672514,-0.79865258145217643548,-0.00017842339951821572001,-0.00082846190925099660613,0.0003368042299080997292,-0.0017110867700304600858,-0.0013957411103144971593,0.023285313605528143444,0.083298044297307444195,-0.018469122129907651619,0.00019314265410944682529,0.0056040122575354350473
1413393213605760500,-0.00037198793843622797884,-0.0010030578941201077209,-0.0013446092091903083868,0.60182867851217602961,-0.0047800291204472440676,-0.79861089361820536414,-0.00018340181380813828384,9.0011994661294453019e-05,0.00046346995702387566501,-0.0011688703425497826149,-0.0013980350117639719042,0.023311412575425932703,0.083382358926081201478,-0.019260020121203629689,0.00026413642146050684114,0.0058238119938837130951
1413393213805760500,-0.00037282809174083076818,-0.0012653864186372232661,-0.0014899629743612195863,0.60189302541399369861,-0.0048133113020305913141,-0.79856218912255505504,-0.00021930820723863254018,0.00042333650169002899795,-0.00047478475357451269991,-0.0028798117303220345346,-0.0014356945118332296082,0.023399056815807017101,0.083304689363763020915,-0.020852020970313387555,0.00018241958004233712188,0.0061960612644766707019
1413393214005760500,-0.0004774172931253296186,-0.0025269331607215344757,-0.0017144260578780660693,0.60168387664752132071,-0.0045996077197730279862,-0.79872106744259252498,-0.00011231472654129785,0.00012520429836644284254,0.0053303399345066794154,0.002456287835697949784,-0.0011539827285002239154,0.023364049955762990901,0.084028250496181969287,-0.019660759870189552234,0.0010762158465356561846,0.0058164368105624395661
1413393214205760500,-0.00050243354572723959457,-0.0031550860304020199656,-0.0021802621875477157243,0.6016948695647337253,-0.0050178480890686084914,-0.79871021413432341518,-0.00031460695070824443208,-1.5352192981493447516e-05,-0.0036071432530061652184,-0.0035566822463420745895,-0.0014164660784380480631,0.023367634726739354434,0.083608364560039630242,-0.021397179027109643201,0.00050173856567872158335,0.006290397809024788657
