1413393217905760512,-0.16750,0.10887,0.16104,0.04681,0.80628,-0.01819,0.58940,-0.23446,0.21968,0.22748,
1413393218005760512,-0.19201,0.13152,0.18512,0.04548,0.80588,-0.01940,0.59001,-0.25595,0.23625,0.22438,
1413393218105760512,-0.13431,0.37507,0.20240,0.28574,0.75132,-0.21123,0.55610,-0.14879,0.51534,0.15313,
1413393218205760512,-0.23958,0.30306,0.18898,0.18573,0.76109,-0.15850,0.60093,-0.26714,0.38353,0.02332,
1413393218305760256,-0.35665,0.12732,0.18491,-0.03161,0.78404,0.00024,0.61991,-0.39104,0.15307,-0.06302,
1413393218405760512,-0.40193,0.23180,0.19359,0.04185,0.78318,-0.05331,0.61808,-0.43262,0.17147,-0.11561,
1413393218505760512,-0.43656,0.29843,0.22142,0.06329,0.79195,-0.05227,0.60505,-0.44687,0.22923,-0.09063,
1413393218605760512,-0.48472,0.35351,0.22506,0.09133,0.79224,-0.06089,0.60025,-0.48210,0.28482,-0.06786,
1413393218705760512,-0.48284,0.47697,0.23448,0.15140,0.79382,-0.09919,0.58059,-0.48102,0.37895,-0.02858,
1413393218805760256,-0.52496,0.50676,0.23051,0.15209,0.79901,-0.10054,0.57301,-0.49988,0.39095,-0.02056,
1413393218905760512,-0.57778,0.51436,0.23121,0.11790,0.81462,-0.08743,0.56112,-0.47968,0.40047,-0.00709,
1413393219005760512,-0.67919,0.47306,0.26567,0.05432,0.83254,-0.04573,0.54939,-0.48298,0.33195,0.06675,
1413393219105760512,-0.64660,0.44212,0.25683,0.00675,0.83426,-0.01306,0.55117,-0.30178,0.26529,0.10156,
1413393219205760512,-0.60301,0.45775,0.24805,0.00366,0.83175,-0.01218,0.55501,-0.14498,0.24045,0.10613,
1413393219305760256,-0.61075,0.47599,0.25925,0.00299,0.82978,-0.01112,0.55798,-0.08236,0.20240,0.13061,
1413393219405760512,-0.61495,0.50333,0.26690,0.00424,0.82818,-0.01399,0.56027,-0.02964,0.18125,0.12712,
1413393219505760512,-0.61404,0.52237,0.27030,0.00647,0.82551,-0.01511,0.56415,0.02589,0.15289,0.04312,
1413393219605760512,-0.60337,0.54295,0.26419,0.01369,0.82090,-0.01936,0.57058,0.05702,0.11877,0.00130,
1413393219705760512,-0.59768,0.55702,0.26414,0.01480,0.81628,-0.01852,0.57717,0.07335,0.09343,0.08248,
1413393219805760256,-0.59029,0.57378,0.28218,0.02264,0.81249,-0.01820,0.58225,0.07751,0.08076,0.20244,
1413393219905760512,-0.58411,0.57850,0.31440,0.02183,0.81134,-0.01424,0.58399,0.06612,0.07815,0.33991,
1413393220005760512,-0.57603,0.58625,0.34910,0.02602,0.80987,-0.01364,0.58587,0.05676,0.07544,0.29431,
1413393220105760512,-0.57236,0.59336,0.37469,0.02618,0.80852,-0.01227,0.58776,0.02669,0.07977,0.22787,
1413393220205760512,-0.56940,0.60247,0.39912,0.02696,0.80795,-0.01062,0.58854,0.01952,0.09147,0.23055,
1413393220305760256,-0.56422,0.61442,0.42372,0.03005,0.80735,-0.01148,0.58919,0.01299,0.11245,0.24619,
1413393220405760512,-0.56431,0.62314,0.44869,0.02562,0.80642,-0.00902,0.59072,0.00221,0.11480,0.26463,
1413393220505760512,-0.56430,0.63643,0.47550,0.02681,0.80882,-0.01018,0.58736,-0.01222,0.12965,0.23808,
1413393220605760512,-0.56565,0.64912,0.49383,0.02704,0.81058,-0.01195,0.58488,-0.01207,0.14089,0.13088,
1413393220705760512,-0.56756,0.66114,0.50034,0.02644,0.80960,-0.01276,0.58625,-0.02116,0.12273,0.00355,
1413393220805760256,-0.57117,0.67380,0.49729,0.01951,0.81147,-0.01675,0.58383,-0.02301,0.12652,-0.03583,
1413393220905760512,-0.57855,0.68149,0.49793,0.00913,0.81236,-0.01883,0.58278,-0.03186,0.12139,0.05133,
1413393221005760512,-0.58161,0.69202,0.51599,0.00902,0.81361,-0.02016,0.58100,-0.01845,0.05974,0.18172,
