Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
1,0,-0.015717,0.046434,0.515982,0.855195,2047.437866,2940.521729,759.980164
2,0,-0.015746,0.046431,0.515969,0.855203,2047.434326,2940.545166,759.980164
3,0,-0.015833,0.046436,0.515981,0.855194,2047.439087,2940.551270,759.978882
4,0,-0.015826,0.046459,0.515983,0.855192,2047.442871,2940.562256,759.984619
5,0,-0.015859,0.046489,0.515965,0.855200,2047.447388,2940.567627,759.995300
6,0,-0.015853,0.046497,0.515956,0.855205,2047.449585,2940.574463,760.004761
7,0,-0.015836,0.046509,0.515963,0.855201,2047.450073,2940.573975,760.010986
8,0,-0.015862,0.046492,0.515966,0.855199,2047.447632,2940.567383,760.008301
9,0,-0.015887,0.046475,0.515964,0.855201,2047.441040,2940.556641,759.999695
10,0,-0.015846,0.046487,0.515945,0.855213,2047.438843,2940.541504,759.992432
11,0,-0.015792,0.046506,0.515938,0.855217,2047.439087,2940.527832,759.985596
12,0,-0.015789,0.046513,0.515931,0.855221,2047.440063,2940.516113,759.979675
13,0,-0.015792,0.046548,0.515931,0.855219,2047.442139,2940.512451,759.980286
14,0,-0.015838,0.046556,0.515917,0.855226,2047.440308,2940.516113,759.984009
15,0,-0.015850,0.046568,0.515902,0.855234,2047.436768,2940.524902,759.990845
16,0,-0.021294,0.042319,0.520635,0.852464,2047.897827,2940.490234,759.870117
17,0,-0.023857,0.041135,0.522329,0.851417,2048.062500,2940.510986,759.856506
18,0,-0.025434,0.040435,0.523346,0.850780,2048.151611,2940.528809,759.859863
19,0,-0.026401,0.040035,0.523946,0.850400,2048.199951,2940.542236,759.869995
20,0,-0.027000,0.039767,0.524339,0.850152,2048.225586,2940.549805,759.876404
21,0,-0.027385,0.039637,0.524593,0.849989,2048.236816,2940.547607,759.880920
22,0,-0.027619,0.039531,0.524743,0.849893,2048.237061,2940.539551,759.875000
23,0,-0.028625,0.037915,0.526040,0.849132,2048.333984,2940.493164,759.816650
24,0,-0.028336,0.038439,0.525622,0.849377,2048.285400,2940.495850,759.829468
25,0,-0.028115,0.038772,0.525344,0.849541,2048.256104,2940.494385,759.830872
26,0,-0.028021,0.038950,0.525216,0.849615,2048.245361,2940.489014,759.827515
27,0,-0.027918,0.039056,0.525122,0.849672,2048.240479,2940.486328,759.826050
28,0,-0.027832,0.039179,0.525052,0.849712,2048.240234,2940.483398,759.826111
29,0,-0.026761,0.040050,0.525338,0.849529,2048.186279,2940.608154,759.656494
30,0,-0.027608,0.038172,0.526245,0.849027,2048.290283,2940.581787,759.582947
31,0,-0.027224,0.038441,0.525648,0.849397,2048.255371,2940.589844,759.580078
32,0,-0.026941,0.038599,0.525262,0.849638,2048.233887,2940.595215,759.571777
33,0,-0.026768,0.038655,0.525051,0.849771,2048.224609,2940.591553,759.558655
34,0,-0.026591,0.038672,0.524946,0.849841,2048.207275,2940.599854,759.557617
35,0,-0.025066,0.038945,0.524989,0.849848,2048.209229,2940.545410,759.633606
36,0,-0.023517,0.039207,0.525245,0.849722,2048.266113,2940.462158,759.652405
