%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1403638147895097000,0,1403638147895097000,cam0,-0.0706339762021,-0.0587196228557,0.0229057885577,-0.595049594652,-0.574734752066,0.38659374498,0.407604245579
1403638147945097000,1,1403638147945097000,cam0,0.0286072045055,0.41965651356,-0.0545589757582,-0.640943211532,-0.520187088754,0.342313271538,0.4487970771
1403638147995097000,2,1403638147995097000,cam0,0.0472038228938,0.42434380221,-0.0422726467602,-0.639899952458,-0.517394039143,0.344571055146,0.451776766842
1403638148045097000,3,1403638148045097000,cam0,0.0579709078557,0.409808567594,-0.040354595524,-0.637667980997,-0.515457309905,0.345972083186,0.456055506854
1403638148095097000,4,1403638148095097000,cam0,-0.0502621372753,0.410034200896,-0.039910682676,-0.635773594345,-0.513300320426,0.350968201697,0.457313939413
1403638148145097000,5,1403638148145097000,cam0,-2.27013186809,-0.646373144632,0.540226670282,-0.632798843452,-0.513408056168,0.34792694212,0.463599648979
1403638148195097000,6,1403638148195097000,cam0,-0.857342970975,0.466704337097,0.0299983858737,-0.631800830026,-0.51449046692,0.352522323118,0.460277397153
1403638148245097000,7,1403638148245097000,cam0,-0.282323145752,0.7416983668,0.0409826534712,-0.629825530439,-0.516128464708,0.354905335085,0.459318421416
1403638148295097000,8,1403638148295097000,cam0,0.0257787294245,0.403643183361,0.0415171317007,-0.629069882882,-0.516320126677,0.355218982464,0.459895731373
1403638148345097000,9,1403638148345097000,cam0,0.055254329688,0.4016899438,0.0479651096327,-0.627417442691,-0.517008234945,0.356702647647,0.46023152735
1403638148395097000,10,1403638148395097000,cam0,0.0638635897601,0.404444621208,0.0771972481342,-0.626726640661,-0.518519137497,0.356794444904,0.459401073158
1403638148445097000,11,1403638148445097000,cam0,-0.065201372921,0.406675386515,0.100427000409,-0.626859843051,-0.519652948603,0.356261375883,0.45835071968
1403638148495097000,12,1403638148495097000,cam0,0.00747370392638,0.404441004604,0.120767026563,-0.62765572456,-0.523571395532,0.353036091243,0.455287605243
1403638148545097000,13,1403638148545097000,cam0,0.0299275371594,0.414334481478,0.156197842178,-0.628350567685,-0.527180753034,0.348869650202,0.453371795426
1403638148595097000,14,1403638148595097000,cam0,0.0295281621539,0.393769084501,0.139313935903,-0.628940700977,-0.529017849838,0.347306061524,0.451610682817
1403638148645097000,15,1403638148645097000,cam0,0.0272412597437,0.391611933841,0.136511724178,-0.629582190978,-0.531452680736,0.345284282877,0.449403022842
1403638148695097000,16,1403638148695097000,cam0,0.0293463183218,0.404253348594,0.133255199709,-0.629888955353,-0.53285130067,0.345478726648,0.447161989363
1403638148745097000,17,1403638148745097000,cam0,0.0221715926163,0.402659697293,0.128520424382,-0.630488058272,-0.534296296145,0.34499966468,0.444957871795
1403638148795097000,18,1403638148795097000,cam0,0.0139496892596,0.407926250657,0.125073310978,-0.63090895728,-0.535423190462,0.344766730923,0.44318370456
1403638148845097000,19,1403638148845097000,cam0,0.0082494036286,0.407171617727,0.12788434194,-0.630795227373,-0.536253323902,0.345269099249,0.441949095293
1403638148895097000,20,1403638148895097000,cam0,-0.00480099155696,0.402155176895,0.131420974012,-0.630515776522,-0.536992333713,0.345204158998,0.441501050621
1403638148945097000,21,1403638148945097000,cam0,-0.0107130985995,0.400060480446,0.138443660936,-0.62968213652,-0.536804601152,0.346489156724,0.441912311893
1403638148995097000,22,1403638148995097000,cam0,-0.0255747772271,0.402309446512,0.147685736271,-0.628384091142,-0.536677800982,0.348087910369,0.44265695362
1403638149045097000,23,1403638149045097000,cam0,-0.036078456429,0.39796042301,0.16011882509,-0.626463842666,-0.535812499702,0.350396273611,0.444601473719
1403638149095097000,24,1403638149095097000,cam0,-0.0480884941912,0.394281266786,0.175165037839,-0.624683804307,-0.535194325255,0.352138522626,0.446470200275
1403638149195097000,25,1403638149195097000,cam0,-0.0646162363227,0.311850314467,0.29266632835,-0.626998483971,-0.531380971307,0.349172431589,0.450095298186
1403638149245097000,26,1403638149245097000,cam0,-0.0889524056979,0.381580568739,0.226188894295,-0.621573301106,-0.533108629144,0.355870437796,0.45033104755
1403638149295097000,27,1403638149295097000,cam0,-0.106332012801,0.374365026395,0.238085455765,-0.621762282219,-0.531991688185,0.357446889536,0.450142454422
1403638149345097000,28,1403638149345097000,cam0,-0.124272884089,0.373008246532,0.251302293436,-0.621425024839,-0.531284991722,0.358712822075,0.450435686145
1403638149395097000,29,1403638149395097000,cam0,-0.156216870451,0.352628224907,0.253924181699,-0.620669030704,-0.530882404627,0.358455530512,0.452154242961
1403638149445097000,30,1403638149445097000,cam0,-0.165491951845,0.348637457042,0.250781325494,-0.620192503557,-0.530245950899,0.359491206207,0.45273233013
1403638149495097000,31,1403638149495097000,cam0,-0.187087499483,0.345282166052,0.261397865838,-0.619353743399,-0.530489366224,0.359223460022,0.453806653356
1403638149545097000,32,1403638149545097000,cam0,-0.199235142604,0.339867829453,0.272728585598,-0.618886504274,-0.530687151876,0.359020889995,0.454372800911
1403638149595097000,33,1403638149595097000,cam0,-0.215466438806,0.33497673186,0.287963143165,-0.618212567484,-0.531442073095,0.358764403412,0.45461043454
1403638149645097000,34,1403638149645097000,cam0,-0.237301468692,0.331944319921,0.298413338176,-0.617066850277,-0.532875890207,0.359511978146,0.453897483464
1403638149695097000,35,1403638149695097000,cam0,-0.250844512959,0.327833934302,0.305044861929,-0.615170384107,-0.534806728191,0.361290190625,0.452787544171
1403638149745097000,36,1403638149745097000,cam0,-0.256943717655,0.323728037061,0.317055032239,-0.613146589393,-0.537081903547,0.362491815262,0.451878271956
1403638149795097000,37,1403638149795097000,cam0,-0.270631952184,0.319184639741,0.316367521848,-0.61154300698,-0.538805858039,0.364194634483,0.450628079651
1403638149845097000,38,1403638149845097000,cam0,-0.279161446949,0.318804819722,0.318696524548,-0.610001701963,-0.540903520753,0.365208567829,0.449381805175
1403638149895097000,39,1403638149895097000,cam0,-0.286083424085,0.314323385161,0.316639699537,-0.608959561582,-0.541649646371,0.366805881579,0.448594870883
1403638149945097000,40,1403638149945097000,cam0,-0.286844424262,0.313693874883,0.314708117025,-0.60807919655,-0.543237710094,0.367187168828,0.447555654754
1403638149995097000,41,1403638149995097000,cam0,-0.293964496461,0.311101547242,0.314461896167,-0.606972508489,-0.54482978345,0.36707742584,0.447212527152
1403638150045097000,42,1403638150045097000,cam0,-0.296694700101,0.307636540256,0.310036335306,-0.604813709518,-0.547003913736,0.365205039528,0.449012666012
1403638150095097000,43,1403638150095097000,cam0,-0.306522708951,0.303030956199,0.300145587104,-0.602577407077,-0.549313828079,0.363081732809,0.450917333955
1403638150145097000,44,1403638150145097000,cam0,-0.312330717523,0.29867524355,0.298004487142,-0.60025060094,-0.552330951478,0.359958897146,0.452834769508
1403638150195097000,45,1403638150195097000,cam0,-0.327106788755,0.29153842376,0.297250472349,-0.598241090489,-0.554491474102,0.357592903737,0.454724221912
1403638150245097000,46,1403638150245097000,cam0,-0.339856527453,0.284883850396,0.293612518442,-0.596165502426,-0.556222038628,0.355465898237,0.456998613401
1403638150295097000,47,1403638150295097000,cam0,-0.343977449913,0.27852002702,0.288154093068,-0.597111454631,-0.55736689929,0.354370553106,0.455215950308
1403638150345097000,48,1403638150345097000,cam0,-0.357172458645,0.26779655093,0.271537070528,-0.598173791073,-0.558416337218,0.353076093718,0.453537850731
1403638150395097000,49,1403638150395097000,cam0,-0.366313031008,0.255886520825,0.257721569946,-0.600288212395,-0.559845939959,0.353080350803,0.448955288917
1403638150445097000,50,1403638150445097000,cam0,-0.383068903522,0.240811653272,0.253447418271,-0.603428834582,-0.562095078544,0.353677976064,0.441400785588
1403638150495097000,51,1403638150495097000,cam0,-0.395207386202,0.226033462728,0.249017499938,-0.60465357215,-0.564219206195,0.356024057041,0.435083458494
1403638150545097000,52,1403638150545097000,cam0,-0.413991716447,0.208188236803,0.25320958592,-0.604761585694,-0.567642936654,0.357043532963,0.429610098234
1403638150595097000,53,1403638150595097000,cam0,-0.429112835223,0.191893902237,0.250765011834,-0.604264473886,-0.570068694181,0.359051720924,0.425403327696
1403638150645097000,54,1403638150645097000,cam0,-0.458990923977,0.171440154756,0.257220852772,-0.603141911058,-0.572118858964,0.361280819925,0.422345848205
1403638150695097000,55,1403638150695097000,cam0,-0.483942179618,0.15019695187,0.264083206518,-0.601668175205,-0.57324261168,0.363614721516,0.420918815682
1403638150745097000,56,1403638150745097000,cam0,-0.51075209474,0.128301444622,0.276770609641,-0.599384705462,-0.575184830409,0.365551967509,0.419847763809
1403638150795097000,57,1403638150795097000,cam0,-0.539429124245,0.102403103153,0.286789718671,-0.596213565226,-0.577331862003,0.367655070731,0.419579616666
1403638150845097000,58,1403638150845097000,cam0,-0.572482035213,0.0816698173494,0.294090037457,-0.592015488349,-0.580021718088,0.370616598959,0.419208545567
1403638150895097000,59,1403638150895097000,cam0,-0.598705319573,0.0603519767868,0.303465150831,-0.587689992402,-0.582393266192,0.373581459138,0.419375070447
1403638150945097000,60,1403638150945097000,cam0,-0.627693995662,0.0374021304641,0.311331473504,-0.583578404693,-0.584073679946,0.376608366942,0.42007180329
1403638150995097000,61,1403638150995097000,cam0,-0.646505204063,0.0199194807381,0.318044797763,-0.578776958481,-0.585340047176,0.381136634895,0.420867113284
1403638151045097000,62,1403638151045097000,cam0,-0.670742519971,-0.000787525020391,0.320223838721,-0.574579734883,-0.588906027039,0.383586616007,0.419415220991
1403638151095097000,63,1403638151095097000,cam0,-0.697113565444,-0.0274907879292,0.324072205428,-0.56857884753,-0.592728942932,0.387270633035,0.418822099632
1403638151145097000,64,1403638151145097000,cam0,-0.718569679184,-0.0502224545376,0.327034722575,-0.561605504117,-0.597752261612,0.391164561105,0.417470690728
1403638151195097000,65,1403638151195097000,cam0,-0.740283424336,-0.0719813018148,0.322233556449,-0.554974426273,-0.603663441447,0.395471315318,0.4137587152
